iter	Logloss
0	0.6744474464
1	0.6585451799
2	0.6438584324
3	0.6319027495
4	0.6202623797
5	0.6097383651
6	0.6012993504
7	0.590700934
8	0.5828256382
9	0.5764140852
10	0.5705555041
11	0.5645360315
12	0.5594728027
13	0.5548308832
14	0.5505157186
15	0.5440928926
16	0.5404838527
17	0.5373778409
18	0.5342403845
19	0.5312703129
20	0.5271380984
21	0.5225267485
22	0.5130040849
23	0.5098579405
24	0.5061473656
25	0.5043204662
26	0.5025202479
27	0.5009099571
28	0.4977466768
29	0.4963009652
30	0.4946583101
31	0.4902189658
32	0.4888419627
33	0.4874146692
34	0.4862758194
35	0.4851760141
36	0.4839094069
37	0.4789412035
38	0.4777850953
39	0.4750465688
40	0.4738298278
41	0.4672216704
42	0.4623057966
43	0.4611499454
44	0.4601156249
45	0.4591132836
46	0.4578977631
47	0.4533135358
48	0.4485361097
49	0.4477053883
50	0.4455334919
51	0.4446615175
52	0.4417509199
53	0.439386568
54	0.438588327
55	0.4377351147
56	0.4367176044
57	0.4359135408
58	0.4351509388
59	0.4343505653
60	0.4312882101
61	0.4290390514
62	0.4275778268
63	0.426892747
64	0.424626517
65	0.423371495
66	0.4228238039
67	0.4222766314
68	0.4197801916
69	0.4184154383
70	0.4164692428
71	0.4159337488
72	0.4155318167
73	0.4149100042
74	0.4141151016
75	0.4110166685
76	0.4105826424
77	0.4102252006
78	0.4088003477
79	0.4083883241
80	0.4077783073
81	0.4072893131
82	0.4038323686
83	0.4033303648
84	0.4029490766
85	0.4013420391
86	0.4006283013
87	0.3921390085
88	0.3916455569
89	0.3912778832
90	0.3907237248
91	0.3875704511
92	0.3858459217
93	0.3844233958
94	0.3831870406
95	0.382127229
96	0.3817139476
97	0.3807353422
98	0.3785325246
99	0.3781483745
100	0.3778392693
101	0.3774460454
102	0.376434353
103	0.3760770209
104	0.3752029467
105	0.372601327
106	0.3709255085
107	0.3704139344
108	0.3699156251
109	0.3695739758
110	0.3687962885
111	0.3673146954
112	0.3655417491
113	0.3653587166
114	0.3650734369
115	0.3645941752
116	0.3641112034
117	0.3637129619
118	0.3633088537
119	0.3617730414
120	0.3602531049
121	0.359227577
122	0.3590142031
123	0.3571681619
124	0.3546100801
125	0.3522295239
126	0.3516783736
127	0.3511277969
128	0.3509138801
129	0.3506522558
130	0.3504613339
131	0.3501522523
132	0.3499210328
133	0.3491257332
134	0.3473575894
135	0.3459179101
136	0.3456068543
137	0.3451013579
138	0.341811658
139	0.3396555537
140	0.3378762184
141	0.3376741604
142	0.3373868253
143	0.3367251535
144	0.3336293459
145	0.3321027532
146	0.331777519
147	0.3315976788
148	0.3313439843
149	0.3310364173
150	0.3299873257
151	0.3293657802
152	0.3279419341
153	0.3270853773
154	0.3265308041
155	0.3252819376
156	0.3249947523
157	0.3246674351
158	0.3243192666
159	0.3240976892
160	0.3236223984
161	0.3210650876
162	0.320682088
163	0.3204266373
164	0.3198720354
165	0.3197452263
166	0.3195777169
167	0.3186340199
168	0.3184413356
169	0.3182076287
170	0.3180612093
171	0.3179141102
172	0.3177584488
173	0.3175740549
174	0.3166238959
175	0.31584401
176	0.3156891954
177	0.3147320838
178	0.31429254
179	0.3141435724
180	0.3137235424
181	0.3135556523
182	0.3134422635
183	0.3133575028
184	0.3127909476
185	0.3126398823
186	0.3113558851
187	0.3112610506
188	0.3101955473
189	0.3100805907
190	0.3097693025
191	0.3087592315
192	0.3080106063
193	0.3076808204
194	0.3074580597
195	0.3070559384
196	0.3057148123
197	0.304174707
198	0.3040747924
199	0.3039080566
