iter	Passed	Remaining
0	25	4986
1	44	4409
2	64	4207
3	82	4060
4	102	3981
5	122	3965
6	143	3946
7	164	3943
8	184	3914
9	204	3876
10	223	3840
11	241	3790
12	264	3805
13	284	3777
14	303	3748
15	326	3752
16	344	3712
17	364	3687
18	385	3668
19	410	3693
20	432	3685
21	453	3672
22	475	3662
23	497	3648
24	519	3634
25	539	3608
26	558	3576
27	576	3544
28	599	3533
29	619	3507
30	638	3482
31	661	3471
32	678	3435
33	699	3415
34	719	3391
35	737	3361
36	757	3338
37	779	3322
38	806	3330
39	835	3341
40	857	3326
41	880	3312
42	903	3297
43	921	3268
44	942	3246
45	962	3221
46	980	3192
47	1001	3171
48	1022	3150
49	1043	3129
50	1064	3110
51	1083	3083
52	1104	3063
53	1128	3050
54	1148	3026
55	1167	3002
56	1191	2989
57	1209	2960
58	1228	2935
59	1246	2909
60	1268	2889
61	1288	2868
62	1309	2847
63	1330	2828
64	1351	2806
65	1371	2783
66	1390	2760
67	1412	2741
68	1436	2726
69	1457	2706
70	1478	2686
71	1497	2661
72	1515	2636
73	1532	2609
74	1553	2588
75	1573	2567
76	1595	2549
77	1614	2525
78	1635	2505
79	1654	2481
80	1675	2461
81	1692	2436
82	1713	2415
83	1734	2395
84	1752	2371
85	1773	2350
86	1793	2329
87	1815	2310
88	1835	2289
89	1854	2267
90	1875	2246
91	1897	2226
92	1918	2207
93	1938	2186
94	1959	2165
95	1980	2145
96	2002	2126
97	2022	2105
98	2043	2084
99	2062	2062
100	2082	2041
101	2103	2021
102	2123	2000
103	2143	1978
104	2163	1957
105	2186	1938
106	2206	1917
107	2224	1895
108	2244	1873
109	2265	1853
110	2286	1833
111	2306	1812
112	2326	1791
113	2347	1770
114	2369	1751
115	2401	1738
116	2424	1719
117	2445	1699
118	2464	1677
119	2486	1657
120	2506	1636
121	2525	1614
122	2545	1593
123	2566	1573
124	2587	1552
125	2609	1532
126	2629	1511
127	2650	1490
128	2669	1469
129	2690	1448
130	2708	1426
131	2728	1405
132	2748	1384
133	2769	1364
134	2793	1344
135	2813	1324
136	2834	1303
137	2854	1282
138	2875	1262
139	2897	1241
140	2917	1220
141	2936	1199
142	2961	1180
143	2982	1159
144	3004	1139
145	3026	1119
146	3045	1097
147	3065	1077
148	3084	1055
149	3103	1034
150	3124	1014
151	3147	994
152	3168	973
153	3192	953
154	3213	932
155	3233	912
156	3255	891
157	3275	870
158	3295	849
159	3315	828
160	3337	808
161	3359	787
162	3380	767
163	3398	745
164	3420	725
165	3438	704
166	3458	683
167	3479	662
168	3499	641
169	3520	621
170	3541	600
171	3559	579
172	3579	558
173	3601	538
174	3621	517
175	3642	496
176	3662	475
177	3685	455
178	3706	434
179	3724	413
180	3743	393
181	3763	372
182	3782	351
183	3800	330
184	3820	309
185	3841	289
186	3863	268
187	3882	247
188	3904	227
189	3921	206
190	3940	185
191	3960	165
192	3984	144
193	4004	123
194	4023	103
195	4044	82
196	4066	61
197	4087	41
198	4107	20
199	4128	0
